Timestamp,Day of Week,Source IP,Destination IP,Encrypted Application Data
2023-12-03 17:50:01,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a2c964a5cc03a4c730f2226dac1c483c3cadc26
2023-12-03 17:50:41,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a2dad7bae9e073a05e8ffb7eb7376abb23a3fb0
2023-12-03 17:51:22,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a2efb2d65969d8dff1a39211f4e0737825c9ea9
2023-12-03 17:52:03,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a2f2bf099444f3359964619cad0338f3eafad76
2023-12-03 17:52:43,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a303c2bb2322a34cba10950a269cc56d817103a
2023-12-03 17:53:23,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a3153ee34e7450355c607c7b52a128a6219ff77
2023-12-03 17:54:03,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a32fa7308c162d40ed24a8fd4a2cfbe96074fc5
2023-12-03 17:54:43,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a33d5f36ff6e8c4cce42ef20cff8af9c89015e2
2023-12-03 17:55:23,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a34485fca625ed98dc435010ea5f6cb82fe9c29
2023-12-03 17:56:04,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a3512616f736ebc551802f3053cca64ac4618fd
2023-12-03 17:56:44,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a36915b061d9dd5b249298cd9eaea018678bcfa
2023-12-03 17:57:24,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a376fb0dc1680399dc8c00b4e6ccfae7d471ca4
2023-12-03 17:58:04,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a381ee6a274dceb33301f903ce9ab31c3c46c5f
2023-12-03 17:58:45,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a39b59e114807f0ae3168c02c25a948bf0ae0bb
2023-12-03 17:59:25,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a3a5f8c302559fa6fc6ca19a5ef1fd71832ca96
2023-12-03 18:00:05,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a3be4140627549496c021042ad31008e454dda6
2023-12-03 18:00:45,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a3c1c8482dc3ccfa6e3eb7aee41e19a813b28ab
2023-12-03 18:01:26,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a3d20ff7d1106eae91384022c2d471eb0608120
2023-12-03 18:02:06,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a3eea973bb7608417a0387c6de32c83424c5079
2023-12-03 18:02:46,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a3f9a0702146769b6d4b16afd0a634793872f30
2023-12-03 18:03:26,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a402d9c40f31f2f429aed2501309570c9d61498
2023-12-03 18:04:06,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a41bf18e2e4171cdc34f8b55c2e2ef370d2a190
2023-12-03 18:04:47,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a42cafb4b6fc24109f26ed9d84f488906c94773
2023-12-03 18:05:27,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a434f624a6409d3eb69cfc9dc1f05c9a76de25d
2023-12-03 18:06:07,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a440f1551ec19a3fb775d9e2b0cdd54201f6dba
2023-12-03 18:06:47,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a4512fc3978d2e8429cb145011a7db41bd6f0a8
2023-12-03 18:07:28,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a4619a054664b5193787ffb8f62c0818bfa05a3
2023-12-03 18:08:08,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a47446aa09fb3c72db928c1d6f979a173b71da9
2023-12-03 18:08:48,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a489b743eb4a2e770acc6cecee62d63c82d78d1
2023-12-03 18:09:28,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a494f9bd148b1204c4803fd579bc21f70dd6b06
2023-12-03 18:10:08,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a4aa15dba5e167e6dd5a4cc7b1115dc214ec422
2023-12-03 18:10:48,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a4b0b0d0e3cc5620b4d64de08050bc3569dfcb8
2023-12-03 18:11:29,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a4ca514b6588ea7e4d898fc7edffaa85e371e81
2023-12-03 18:12:09,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a4d40bc4cd779b1218a61e5eeb936c8d96cf453
2023-12-03 18:12:49,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a4e69abb468d5c6dc8511b7f60cd8949cf6a59b
2023-12-03 18:13:29,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a4f9e0386e1bcd1e529ac8e9eb0ef8a2bc0b65c
2023-12-03 18:14:09,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a5073f0f60627ffa1051d3fa7aaf131e9f74351
2023-12-03 18:14:50,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a515e8e01e98354109d7df1e1b036db8186a915
2023-12-03 18:15:30,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a520bf0b03d6e40e2eb836ea9ec78eca4bea788
2023-12-03 18:16:10,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a5370beb60c540f35e7660608580a1b6d9ec6bc
2023-12-03 18:16:50,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a549f4d7223ddc41723edac67814555fc34e8bd
2023-12-03 18:17:31,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a55e68fc264c5b0d473d9d1e51f52013691f73f
2023-12-03 18:18:11,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a56d66d97d1f8593b7ae226bd1b7c76906a5836
2023-12-03 18:18:51,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a5733830c167429e00b419958596129308bc59a
2023-12-03 18:19:31,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a58d2e093a44832b2d0a448dc7eaa7cf2380c4b
2023-12-03 18:20:11,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a5910898435e8b965fce64001cca9b6da13fc4f
2023-12-03 18:20:51,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a5a84a3a96d77afad7e5b3f42fe3912eae5cd34
2023-12-03 18:21:32,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a5b536c505c4c06e71ded62e2f96c10be78da79
2023-12-03 18:22:12,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a5c75ffdc7300cfbc0031bf7347c72558b03de9
